Tipo;Lateralidad;;;;;;;;;
Nombre;Izquierda o derecha;;;;;;;;;
Nivel;0;;;;;;;;;
TamCuadricula;5;;;;;;;;;
PosRobot;2;2;;;;;;;;
DireccionRobot;arriba;;;;;;arriba;abajo;izquierda;derecha
NumObjetivos;2;;;;;;;;;
imagen;Animales/perro1.png;0;2;;;;;;;
imagen;Animales/perro2.png;4;2;;;;;;;
SoluciónOrdenada;0;;;;;;;;;
NumeroDeSoluciones;1;;;;;;;;;
Animales/perro1.png;;;;;;;;;;
BloquesUsables;2;;;;;;;;;
avanzar;;;;;;;;;;
girar;;;;;;;;;;
ColoresSeguros;3;;;;;;;;;
Azul;;;;;;;;;;
Verde;;;;;;;;;;
Blanco;;;;;;;;;;
ColoresCasillas;;;;;;;;;;
Blanco;Blanco;Blanco;Blanco;Blanco;;;;;;
Blanco;Blanco;Blanco;Blanco;Blanco;;;;;;
Verde;Verde;Verde;Verde;Verde;;Negro;;;;
Blanco;Blanco;Blanco;Blanco;Blanco;;;;;;
Blanco;Blanco;Blanco;Blanco;Blanco;;;;;;
Descripcion;;;;;;;;;;
Usa GIRAR para llegar al perro de la izquierda;;;;;;;;;;
Descripcion_corta;;;;;;;;;;
Usa GIRAR para llegar al perro de la izquierda;;;;;;;;;;
Página_glosario;NULL;;;;;;;;;
