Tipo;Conciencia silábica;;;;;;;;;
Nombre;Forma la palabra;;;;;;;;;
Nivel;5;;;;;;;;;
TamCuadricula;5;;;;;;;;;
PosRobot;0;0;;;;;;;;
DireccionRobot;derecha;;;;;;arriba;abajo;izquierda;derecha
NumObjetivos;2;;;;;;;;;
texto;ro;3;0;;;;;;;
texto;bot;3;4;;;;;;;
SoluciónOrdenada;1;;;;;;;;;
NumeroDeSoluciones;2;;;;;;;;;
ro;;;;;;;;;;
bot;;;;;;;;;;
BloquesUsables;5;;;;;;;;;
avanzar;;;;;;;;;;
girar;;;;;;;;;;
mientras;;;;;;;;;;
siguiente_color;;;;;;;;;;
objetivo_alcanzado;;;;;;;;;;
ColoresSeguros;3;;;;;;;;;
Verde;;;;;;;;;;
Azul;;;;;;;;;;
Blanco;;;;;;;;;;
ColoresCasillas;;;;;;;;;;
Azul;Azul;Azul;Azul;Rojo;;;;;;
Rojo;Rojo;Rojo;Verde;Rojo;;;;;;
Rojo;Rojo;Rojo;Blanco;Rojo;;;;;;
Rojo;Rojo;Rojo;Azul;Rojo;;;;;;
Rojo;Rojo;Rojo;Verde;Rojo;;;;;;
Descripcion;;;;;;;;;;
Ordena las sílabas para formar la palabra. Usa un bucle MIENTRAS para cada sílaba;;;;;;;;;;
Descripcion_corta;;;;;;;;;;
Forma la palabra oculta usando dos bucles.;;;;;;;;;;
Página_glosario;NULL;;;;;;;;;
