Tipo;Tutorial: Mientras con girar;;;;
Nivel;4;;;;
TamCuadricula;6;;;;
PosRobot;1;1;;;
NumObjetivos;1;;;;
texto;Meta;1;3;;
SoluciónOrdenada;0;;;;
NumeroDeSoluciones;1;;;;
Meta;;;;;
BloquesUsables;4;;;;
mientras;;;;;
avanzar;;;;;
girar;;;;;
objetivo_alcanzado;;;;;
ColoresSeguros;2;;;;
Verde;;;;;
Azul;;;;;
ColoresCasillas;0;;;;
Rojo;Rojo;Rojo;Rojo;Rojo;Rojo
Rojo;Verde;Azul;Azul;Azul;Rojo
Rojo;Rojo;Rojo;Rojo;Azul;Rojo
Rojo;Verde;Rojo;Rojo;Azul;Rojo
Rojo;Azul;Azul;Azul;Azul;Rojo
Rojo;Rojo;Rojo;Rojo;Rojo;Rojo
Descripcion;;;;;
Usa Mientras para repetir: si delante hay peligro no avances. AVANZA MIENTRAS el camino sea seguro y GIRA. Repite este patrón. AVANZA AVANZA AVANZA GIRA. ;;;;;
Descripcion_corta;;;;;
Repite un patrón usando MIENTRAS;;;;;
