Tipo;Conciencia Silábica;;;;;;;;;
Nombre;Forma la palabra;;;;;;;;;
Nivel;1;;;;;;;;;
TamCuadricula;3;;;;;;;;;
PosRobot;0;0;;;;;;;;
DireccionRobot;derecha;;;;;;arriba;abajo;izquierda;derecha
NumObjetivos;2;;;;;;;;;
texto;me;2;0;;;;;;;
texto;ta;2;2;;;;;;;
SoluciónOrdenada;1;;;;;;;;;
NumeroDeSoluciones;2;;;;;;;;;
me;;;;;;;;;;
ta;;;;;;;;;;
BloquesUsables;2;;;;;;;;;
avanzar;;;;;;;;;;
girar;;;;;;;;;;
ColoresSeguros;2;;;;;;;;;
Azul;;;;;;;;;;
Verde;;;;;;;;;;
ColoresCasillas;0;;;;;;;;;
Verde;Azul;Azul;;;;;;;;
Rojo;Rojo;Azul;;;;;;;;
Rojo;Rojo;Azul;;;;;;;;
Descripcion;;;;;;;;;;
Ordena las sílabas para formar una palabra. AVANZA y GIRA para buscar camino seguro.;;;;;;;;;;
Descripcion_corta;;;;;;;;;;
Usa GIRAR para evitar las casillas ROJAS y conseguir las sílabas en orden;;;;;;;;;;
Página_glosario;;;;;;;;;;
