Tipo;Conciencia silábica;;;;;;;;;
Nombre;Forma la palabra;;;;;;;;;
Nivel;0;;;;;;;;;
TamCuadricula;8;;;;;;;;;
PosRobot;7;3;;;;;;;;
DireccionRobot;izquierda;;;;;;arriba;abajo;izquierda;derecha
NumObjetivos;3;;;;;;;;;
texto;tor;6;3;;;;;;;
texto;ti;3;3;;;;;;;
texto;lla;0;3;;;;;;;
SoluciónOrdenada;1;;;;;;;;;
NumeroDeSoluciones;3;;;;;;;;;
tor;;;;;;;;;;
ti;;;;;;;;;;
lla;;;;;;;;;;
BloquesUsables;3;;;;;;;;;
avanzar;;;;;;;;;;
mientras;;;;;;;;;;
siguiente_color;;;;;;;;;;
ColoresSeguros;3;;;;;;;;;
Azul;;;;;;;;;;
Verde;;;;;;;;;;
Blanco;;;;;;;;;;
ColoresCasillas;;;;;;;;;;
Negro;Negro;Negro;Negro;Negro;Negro;Negro;Negro;;;
Negro;Negro;Negro;Negro;Negro;Negro;Negro;Negro;;;
Negro;Negro;Negro;Negro;Negro;Negro;Negro;Negro;;;
Azul;Azul;Azul;Azul;Azul;Azul;Azul;Azul;;;
Negro;Negro;Negro;Negro;Negro;Negro;Negro;Negro;Negro;;
Negro;Negro;Negro;Negro;Negro;Negro;Negro;Negro;;;
Negro;Negro;Negro;Negro;Negro;Negro;Negro;Negro;;;
Negro;Negro;Negro;Negro;Negro;Negro;Negro;Negro;;;
Descripcion;;;;;;;;;;
Ordena las sílabas para formar la palabra oculta. Usa el bloque mientras para mover al Robot;;;;;;;;;;
Descripcion_corta;;;;;;;;;;
Haz un bucle para que el robot pueda formar la palabra;;;;;;;;;;
Página_glosario;NULL;;;;;;;;;
