Tipo;Rimas;;;;;;;;;
Nombre;¿Qué palabras riman?;;;;;;;;;
Nivel;12;;;;;;;;;
TamCuadricula;5;;;;;;;;;
PosRobot;4;2;;;;;;;;
DireccionRobot;izquierda;;;;;;arriba;abajo;izquierda;derecha
NumObjetivos;3;;;;;;;;;
imagen;Animales/gato1.png;2;2;;;;;;;
imagen;pan.png;1;1;;;;;;;
imagen;Animales/pato.png;1;3;;;;;;;
SoluciónOrdenada;0;;;;;;;;;
NumeroDeSoluciones;2;;;;;;;;;
Animales/gato1.png;;;;;;;;;;
Animales/pato.png;;;;;;;;;;
BloquesUsables;0;;;;;;;;;
ColoresSeguros;1;;;;;;;;;
Verde;;;;;;;;;;
ColoresCasillas;;;;;;;;;;
Rojo;Rojo;Rojo;Rojo;Rojo;;;;;;
Rojo;Verde;Rojo;Rojo;Rojo;;;;;;
Rojo;Verde;Verde;Verde;Verde;;;;;;
Rojo;Verde;Rojo;Rojo;Rojo;;;;;;
Rojo;Rojo;Rojo;Rojo;Rojo;;;;;;
Descripcion;;;;;;;;;;
Llega a los objetivos que rimen con Zapato.;;;;;;;;;;
Descripcion_corta;;;;;;;;;;
¿qué palabras riman con zapato?;;;;;;;;;;
Página_glosario;NULL;;;;;;;;;
